Molecule,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln
PTIC,A,-5.59,-3.81,1.53,747,650
,,,,,,
PTIC-4Cl,A,-5.68,-3.91,1.35,840,765
,,,,,,
PTICH,A,-5.62,-3.8,1.6,709,637
,,,,,,
PTICO,A,-5.48,-3.66,1.56,746,647
,,,,,,
PT-IDTIC,A,-5.79,-3.87,nan,nan,nan
,,,,,,
PT-IDTTIC,A,-5.59,-3.86,nan,nan,nan
,,,,,,
PTO2,D,-5.59,-3.67,nan,nan,nan
,,,,,,
PTPD,D,-5.05,-3.19,1.86,613,612
,,,,,,
PTPDBDT,D,-5.6,-3.75,1.85,nan,nan
,,,,,,
PTQ10,D,-5.54,-2.92,1.93,nan,nan
,,,,,,
PTQ11,D,-5.52,-2.76,nan,nan,nan
,,,,,,
PTQ7,D,-5.38,-2.82,nan,nan,nan
,,,,,,
PTQ8,D,-5.68,-2.92,nan,nan,nan
,,,,,,
PTQ9,D,-5.41,-2.87,nan,nan,nan
,,,,,,
PTT4FB,D,-5.58,-3.58,nan,nan,nan
,,,,,,
PTZ1,D,-5.31,-3.34,nan,nan,nan
,,,,,,
PTZ6,D,-5.36,-3.36,nan,nan,nan
,,,,,,
PTzBI,D,-5.34,-3.46,nan,nan,nan
,,,,,,
PTzBI-DT,D,-5.39,-3.51,nan,nan,nan
,,,,,,
PTzBI-oF,D,-5.25,-3.25,nan,nan,nan
,,,,,,
PvBDT-Cl,D,-5.49,-3.49,2.04,607,580
,,,,,,
PvBDT-F,D,-5.44,-3.45,2.01,616,585
,,,,,,
PvBDTTAZ,D,-5.47,-3.42,nan,nan,nan
,,,,,,
PY-1,A,-5.27,-4,1.4,750,648
,,,,,,
Py-2F,A,-5.85,-3.82,1.66,645,606
,,,,,,
Py-2H,A,-5.78,-3.74,1.69,626,594
,,,,,,
PY5-2TZ,A,-5.7,-3.76,1.44,775,736
,,,,,,
PY5-BT,A,-5.73,-3.78,1.43,778,737
,,,,,,
PY5-BTZ,A,-5.67,-3.72,1.44,775,756
,,,,,,
PY5-PZ,A,-5.71,-3.75,1.45,772,735
,,,,,,
PY5T,A,-5.71,-3.76,nan,792,nan
,,,,,,
PYTT-1,A,-5.66,-3.82,1.49,nan,nan
,,,,,,
PYTT-2,A,-5.73,-3.83,1.49,nan,nan
,,,,,,
PYTT-3,A,-5.76,-3.88,1.44,nan,nan
,,,,,,
PZ1,A,-5.74,-3.86,nan,nan,nan
,,,,,,
PZ-dIDTC6,A,-5.54,-3.85,1.57,711,683
,,,,,,
QCIC1,A,-5.52,-3.8,1.41,718,680
,,,,,,
QCIC3,A,-5.52,-3.89,1.38,739,689
,,,,,,
QOC6-4Cl,A,-5.62,-3.87,1.45,796,733
,,,,,,
QOC6-4H,A,-5.59,-3.8,1.49,763,713
,,,,,,
Qx1,A,-5.42,-3.6,1.74,629,610
,,,,,,
Qx-10F,D,-5.18,-3.49,1.69,634,612
,,,,,,
Qx-12F,D,-5.22,-3.5,1.72,642,612
,,,,,,
Qx1b,A,-5.35,-3.66,1.68,660,631
,,,,,,
QX2,D,-5.4,-3.1,nan,nan,nan
,,,,,,
Qx3,A,-5.38,-3.56,1.64,654,613
,,,,,,
Qx3b,A,-5.27,-3.63,1.59,706,642
,,,,,,
Qx3c,A,-5.3,-3.59,1.6,686,636
,,,,,,
Qx-8F,D,-5.11,-3.45,1.66,613,597
,,,,,,
R10-4Cl,A,-5.35,-3.91,1.43,754,715
,,,,,,
R12-4Cl,A,-5.26,-3.95,1.35,766,721
,,,,,,
SCH3-2F,A,-5.5,-4.06,1.41,759,720
,,,,,,
SeCT-IC,A,-5.53,-3.92,1.54,745,710
,,,,,,
SeTIC,A,-5.55,-3.9,1.58,712,688
,,,,,,
SeTIC4Cl,A,-5.65,-4.08,1.44,761,716
,,,,,,
SFBRCN,A,-5.93,-3.86,nan,505,nan
,,,,,,
SF-HR,A,-5.53,-3.33,2.2,478,475
,,,,,,
SF-OR,A,-5.5,-3.25,2.15,538,504
,,,,,,
SIDIC,A,-5.44,-3.93,1.43,759,728
,,,,,,
SJ-IC,A,-5.61,-3.94,1.49,743,nan
,,,,,,
SM,D,-5.25,-3.33,nan,nan,nan
,,,,,,
SM1,D,-5.25,-2.8,1.88,566,500
,,,,,,
SM1-F,D,-5.37,-2.81,nan,nan,nan
,,,,,,
SM1-Oct,D,-5.12,-2.8,1.8,570,498
,,,,,,
SM1-S,D,-5.32,-2.81,nan,nan,nan
,,,,,,
SM2,D,-5.04,-2.7,2.02,521,466
,,,,,,
SM-Cl,D,-5.42,-3.34,nan,nan,nan
,,,,,,
SN6IC,A,-5.38,-3.93,nan,nan,nan
,,,,,,
SN6IC-4F,A,-5.52,-4.11,nan,nan,nan
,,,,,,
SNBDT1-F,A,-5.3,-3.83,1.41,790,726
,,,,,,
SSBR,A,-5.44,-3.72,1.53,662,659
,,,,,,
SSTI,A,-5.71,-4.24,0.98,866,nan
,,,,,,
S-WSeSe-Cl,A,-5.66,-3.88,1.3,853,768
,,,,,,
SY1,A,-5.68,-3.95,nan,825,733
,,,,,,
SY2,A,-5.67,-3.99,nan,836,739
,,,,,,
SY3,A,-5.69,-3.98,nan,838,740
,,,,,,
S-YSS-Cl,A,-5.71,-3.85,1.34,835,748
,,,,,,
SZ5,D,-5.5,-2.92,nan,nan,nan
,,,,,,
TB-4Cl,A,-5.81,-3.94,1.42,810,730
,,,,,,
TBTT-BORH,A,-5.76,-3.58,1.83,626,540
,,,,,,
TCIC2F,A,-5.59,-3.89,1.46,772,718
,,,,,,
T-EHPPD-T-EHBDT,D,-5.47,-3.68,1.79,691,nan
,,,,,,
TfIF-4FIC,A,-5.71,-3.96,nan,nan,nan
,,,,,,
TfIF-IC,A,-5.51,-3.77,nan,nan,nan
,,,,,,
TIDT-BT-R2,A,-5.25,-3.65,nan,604,nan
,,,,,,
TPBT-RCN,A,-5.42,-3.71,nan,nan,nan
,,,,,,
TPD3,A,-5.65,-3.79,nan,nan,nan
,,,,,,
TPD-3,D,-5.14,-3.32,nan,nan,nan
,,,,,,
TPD-3F,D,-5.32,-3.5,nan,nan,nan
,,,,,,
TPDC-4F,A,-5.83,-3.99,1.42,765,717
,,,,,,
TPDCIC,A,-5.38,-3.78,nan,nan,nan
,,,,,,
TPDCNC,A,-5.37,-3.83,nan,nan,nan
,,,,,,
TPQ-Cl,A,-5.64,-4.11,1.4,nan,nan
,,,,,,
TPQ-F,A,-5.67,-3.91,1.43,nan,nan
,,,,,,
TPQx-4F,A,-5.57,-3.74,1.41,813,748
,,,,,,
TPQx-6F,A,-5.61,-3.78,1.43,805,740
,,,,,,
TPT10,A,-5.52,-3.99,nan,nan,nan
,,,,,,
TPT-2F,A,-5.84,-4.06,1.64,698,662
,,,,,,
TPTT-2F,A,-5.75,-4.04,1.58,717,675
,,,,,,
TPTTT-2F,A,-5.69,-4.01,1.56,724,687
,,,,,,
TR2F-IC4F,A,-5.57,-3.94,1.4,820,730
,,,,,,
TSeTIC,A,-5.65,-3.91,1.53,733,710
,,,,,,
TT-FIC,A,-5.42,-4.13,nan,nan,nan
,,,,,,
TTFQx-T1,D,-5.31,-3.62,1.69,652,606
,,,,,,
TTIC,A,-5.51,-3.89,1.48,768.24,719.85
,,,,,,
TTIC-F,A,-5.34,-3.88,1.35,828,756
,,,,,,
TTIC-M,A,-5.3,-3.82,1.44,783,746
,,,,,,
TTIDIC,A,-5.43,-3.92,1.46,766,705
,,,,,,
TTPBT-IC,A,-5.69,-3.84,1.43,781,720
,,,,,,
TTPTTT-2F,A,-5.67,-4.04,1.54,726,697
,,,,,,
TTPTTT-4F,A,-5.69,-4.12,1.52,738,701
,,,,,,
TTPTTT-IC,A,-5.64,-3.87,1.6,700,685
,,,,,,
TTz1,A,-5.7,-3.86,1.65,675,578
,,,,,,
TTz2,A,-5.5,-3.8,1.61,614,577
,,,,,,
UF-Qx-2Cl,A,-5.55,-3.89,1.29,824,772
,,,,,,
UF-Qx-2F,A,-5.53,-3.84,1.32,804,759
,,,,,,
W1,D,-5.65,-4.1,nan,nan,nan
,,,,,,
X1-PCIC,A,-5.35,-3.77,nan,nan,nan
,,,,,,
X-PCIC,A,-5.37,-3.79,nan,nan,nan
,,,,,,
Y1,A,-5.45,-3.95,nan,nan,nan
,,,,,,
Y14,A,-5.56,-4.01,nan,nan,nan
,,,,,,
Y1-4F,A,-5.56,-4.11,nan,nan,nan
,,,,,,
Y18,A,-5.58,-3.98,nan,nan,nan
,,,,,,
Y18-1D,A,-5.43,-3.75,nan,nan,nan
,,,,,,
Y19,A,-5.68,-3.95,1.308,873,776
,,,,,,
Y2,A,-5.43,-4.04,nan,nan,nan
,,,,,,
Y22,A,-5.69,-3.94,nan,nan,nan
,,,,,,
Y25,A,-5.49,-4.06,nan,nan,nan
,,,,,,
Y26,A,-5.58,-4.03,nan,nan,nan
,,,,,,
Y3,A,-5.55,-4.01,nan,nan,nan
,,,,,,
Y5,A,-5.55,-3.87,1.4,786.99,708.95
,,,,,,
Y6,A,-5.65,-4.09,1.36,826.42,731.84
,,,,,,
Y6-1O,A,-5.71,-3.84,1.43,nan,715
,,,,,,
Y6-2O,A,-5.73,-3.76,1.45,nan,701
,,,,,,
Y6-2Se,A,-5.58,-3.84,1.34,nan,745
,,,,,,
Y6-4Cl,A,-5.74,-4.01,nan,845,746
,,,,,,
Y6-O,A,-5.75,-3.71,1.52,768,702
,,,,,,
Y6-Se,A,-5.63,-3.99,1.31,nan,745
,,,,,,
Y6-T,A,-5.51,-3.86,nan,nan,nan
,,,,,,
Y9,A,-5.59,-3.78,1.36,808,720
,,,,,,
Y9-2Br,A,-5.53,-3.64,1.32,855,nan
,,,,,,
YF25,A,-5.4,-3.7,nan,575,nan
,,,,,,
YITI-0F,A,-5.59,-3.88,nan,nan,nan
,,,,,,
YITI-2F,A,-5.6,-3.92,nan,nan,nan
,,,,,,
YITI-4F,A,-5.61,-3.99,nan,nan,nan
,,,,,,
Y-T,A,-5.42,-3.7,nan,nan,nan
,,,,,,
ZITI,A,-5.56,-3.77,1.53,747,712
,,,,,,
ZITI-C,A,-5.65,-3.81,nan,nan,nan
,,,,,,
ZITI-N,A,-5.57,-3.82,nan,nan,nan
,,,,,,
ZITI-S,A,-5.8,-3.87,nan,nan,nan
,,,,,,
ZR1,D,-5.32,-3.53,nan,nan,nan
